"setNumber","collection","year","setName","price","numParts","imgURL"
"21023-1","Architecture",2015,"Flatiron Building; New York",39.99,471,"https://cdn.rebrickable.com/media/sets/21023-1.jpg"
"21019-1","Architecture",2014,"The Eiffel Tower",34.99,320,"https://cdn.rebrickable.com/media/sets/21019-1.jpg"
"21013-1","Architecture",2012,"Big Ben",29.99,346,"https://cdn.rebrickable.com/media/sets/21013-1.jpg"
"21055-1","Architecture",2019,"Burj Khalifa",49.99,333,"https://cdn.rebrickable.com/media/sets/21055-1.jpg"
"21026-1","Architecture",2016,"Venice",29.99,212,"https://cdn.rebrickable.com/media/sets/21026-1.jpg"
"21016-1","Architecture",2012,"Sungnyemun",34.99,325,"https://cdn.rebrickable.com/media/sets/21016-1.jpg"
"21047-1","Architecture",2018,"Las Vegas",39.99,501,"https://cdn.rebrickable.com/media/sets/21047-1.jpg"
"21036-1","Architecture",2017,"Arc de Triomphe",39.99,386,"https://cdn.rebrickable.com/media/sets/21036-1.jpg"
"21008-1","Architecture",2011,"Burj Khalifa",24.99,208,"https://cdn.rebrickable.com/media/sets/21008-1.jpg"
"21051-1","Architecture",2020,"Tokyo",59.99,547,"https://cdn.rebrickable.com/media/sets/21051-1.jpg"
"10309-1","Botanical Collection",2022,"Succulents",49.99,771,"https://cdn.rebrickable.com/media/sets/10309-1.jpg"
"10281-1","Botanical Collection",2021,"Bonsai Tree",49.99,878,"https://cdn.rebrickable.com/media/sets/10281-1.jpg"
"10314-1","Botanical Collection",2023,"Dried Flower Centrepiece",49.99,812,"https://cdn.rebrickable.com/media/sets/10314-1.jpg"
"40524-1","Botanical Collection",2022,"Sunflowers",12.99,191,"https://cdn.rebrickable.com/media/sets/40524-1.jpg"
"10289-1","Botanical Collection",2021,"Bird of Paradise",99.99,1173,"https://cdn.rebrickable.com/media/sets/10289-1.jpg"
"40460-1","Botanical Collection",2021,"Roses",12.99,120,"https://cdn.rebrickable.com/media/sets/40460-1.jpg"
"10313-1","Botanical Collection",2023,"Wildflower Bouquet",59.99,939,"https://cdn.rebrickable.com/media/sets/10313-1.jpg"
"10280-1","Botanical Collection",2021,"Flower Bouquet",59.99,756,"https://cdn.rebrickable.com/media/sets/10280-1.jpg"
"40461-1","Botanical Collection",2021,"Tulips",9.99,111,"https://cdn.rebrickable.com/media/sets/40461-1.jpg"
"40646-1","Botanical Collection",2023,"Daffodils",12.99,216,"https://cdn.rebrickable.com/media/sets/40646-1.jpg"
"76398-1","Harry Potter",2022,"Hogwarts Hospital Wing",49.99,508,"https://cdn.rebrickable.com/media/sets/76398-1.jpg"
"76404-1","Harry Potter",2022,"Harry Potter Advent Calendar",44.99,334,"https://cdn.rebrickable.com/media/sets/76404-1.jpg"
"71043-1","Harry Potter",2018,"Hogwarts Castle",469.99,6020,"https://cdn.rebrickable.com/media/sets/71043-1.jpg"
"4867-1","Harry Potter",2011,"Hogwarts",49.99,466,"https://cdn.rebrickable.com/media/sets/4867-1.jpg"
"75964-1","Harry Potter",2019,"Harry Potter Advent Calendar",39.99,305,"https://cdn.rebrickable.com/media/sets/75964-1.jpg"
"76401-1","Harry Potter",2022,"Hogwarts Courtyard: Sirius's Rescue",49.99,343,"https://cdn.rebrickable.com/media/sets/76401-1.jpg"
