"setNumber","collection","year","setName","price","numParts","imgURL","x","y"
"21050-1","Architecture",2013,"Architecture Studio",159.99,1211,"https://cdn.rebrickable.com/media/sets/21050-1.jpg",1,100
"21058-1","Architecture",2022,"The Great Pyramid of Giza",129.99,1476,"https://cdn.rebrickable.com/media/sets/21058-1.jpg",2,100
"21022-1","Architecture",2015,"Lincoln Memorial",29.99,274,"https://cdn.rebrickable.com/media/sets/21022-1.jpg",3,100
"21041-1","Architecture",2018,"Great Wall of China",49.99,550,"https://cdn.rebrickable.com/media/sets/21041-1.jpg",4,100
"21045-1","Architecture",2019,"Trafalgar Square",79.99,1197,"https://cdn.rebrickable.com/media/sets/21045-1.jpg",5,100
"21013-1","Architecture",2012,"Big Ben",29.99,346,"https://cdn.rebrickable.com/media/sets/21013-1.jpg",6,100
"21043-1","Architecture",2019,"San Francisco",49.99,565,"https://cdn.rebrickable.com/media/sets/21043-1.jpg",7,100
"21014-1","Architecture",2012,"Villa Savoye",69.99,660,"https://cdn.rebrickable.com/media/sets/21014-1.jpg",8,100
"21012-1","Architecture",2012,"Sydney Opera House",39.99,270,"https://cdn.rebrickable.com/media/sets/21012-1.jpg",9,100
"21006-1","Architecture",2010,"The White House",49.99,561,"https://cdn.rebrickable.com/media/sets/21006-1.jpg",10,100
"40460-1","Botanical Collection",2021,"Roses",12.99,120,"https://cdn.rebrickable.com/media/sets/40460-1.jpg",1,200
"40524-1","Botanical Collection",2022,"Sunflowers",12.99,191,"https://cdn.rebrickable.com/media/sets/40524-1.jpg",2,200
"10309-1","Botanical Collection",2022,"Succulents",49.99,771,"https://cdn.rebrickable.com/media/sets/10309-1.jpg",3,200
"10314-1","Botanical Collection",2023,"Dried Flower Centrepiece",49.99,812,"https://cdn.rebrickable.com/media/sets/10314-1.jpg",4,200
"10289-1","Botanical Collection",2021,"Bird of Paradise",99.99,1173,"https://cdn.rebrickable.com/media/sets/10289-1.jpg",5,200
"10280-1","Botanical Collection",2021,"Flower Bouquet",59.99,756,"https://cdn.rebrickable.com/media/sets/10280-1.jpg",6,200
"10313-1","Botanical Collection",2023,"Wildflower Bouquet",59.99,939,"https://cdn.rebrickable.com/media/sets/10313-1.jpg",7,200
"40461-1","Botanical Collection",2021,"Tulips",9.99,111,"https://cdn.rebrickable.com/media/sets/40461-1.jpg",8,200
"10281-1","Botanical Collection",2021,"Bonsai Tree",49.99,878,"https://cdn.rebrickable.com/media/sets/10281-1.jpg",9,200
"40646-1","Botanical Collection",2023,"Daffodils",12.99,216,"https://cdn.rebrickable.com/media/sets/40646-1.jpg",10,200
"4709-1","Harry Potter",2001,"Hogwarts Castle",89.99,696,"https://cdn.rebrickable.com/media/sets/4709-1.jpg",1,300
"75955-1","Harry Potter",2018,"Hogwarts Express",79.99,806,"https://cdn.rebrickable.com/media/sets/75955-1.jpg",2,300
"76407-1","Harry Potter",2022,"The Shrieking Shack & Whomping Willow",89.99,773,"https://cdn.rebrickable.com/media/sets/76407-1.jpg",3,300
"76412-1","Harry Potter",2023,"Hufflepuff House Banner",34.99,316,"https://cdn.rebrickable.com/media/sets/76412-1.jpg",4,300
"4751-1","Harry Potter",2004,"Harry and the Marauder's Map",9.99,109,"https://cdn.rebrickable.com/media/sets/4751-1.jpg",5,300
"76382-1","Harry Potter",2021,"Hogwarts Moment: Transfiguration Class",29.99,241,"https://cdn.rebrickable.com/media/sets/76382-1.jpg",6,300
"4705-1","Harry Potter",2001,"Snape's Class",19.99,167,"https://cdn.rebrickable.com/media/sets/4705-1.jpg",7,300
"10217-1","Harry Potter",2011,"Diagon Alley",149.99,2032,"https://cdn.rebrickable.com/media/sets/10217-1.jpg",8,300
"4756-1","Harry Potter",2004,"Shrieking Shack",49.99,449,"https://cdn.rebrickable.com/media/sets/4756-1.jpg",9,300
"4841-1","Harry Potter",2010,"Hogwarts Express",79.99,647,"https://cdn.rebrickable.com/media/sets/4841-1.jpg",10,300
"10260-1","Modular Buildings",2018,"Downtown Diner",169.99,2480,"https://cdn.rebrickable.com/media/sets/10260-1.jpg",1,400
"10182-1","Modular Buildings",2007,"Cafe Corner",139.99,2058,"https://cdn.rebrickable.com/media/sets/10182-1.jpg",2,400
"10270-1","Modular Buildings",2020,"Bookshop",199.99,2504,"https://cdn.rebrickable.com/media/sets/10270-1.jpg",3,400
"10264-1","Modular Buildings",2019,"Corner Garage",199.99,2569,"https://cdn.rebrickable.com/media/sets/10264-1.jpg",4,400
