"Number","Style","Folder","Distance_in","Notes"
1,"Raven","AS",190,NA
2,"Basic Dart","DJC",200.5,NA
3,"Arrowhead","NJ",178.2,NA
4,"Raven","NJ",252,NA
5,"Basic Dart","NJ",203.9,NA
6,"Raven","BLB",167.7,"Hit someone"
7,"Arrowhead","DJC",194,NA
8,"Basic Dart","BLB",225.1,NA
9,"Raven","DJC",135.1,"Hit someone"
10,"Arrowhead","YP",189,NA
11,"Raven","YP",269,NA
12,"Basic Dart","HB",218,NA
13,"Raven","HB",194,NA
14,"Arrowhead","AS",184.4,NA
15,"Arrowhead","HB",198.7,NA
16,"Arrowhead","BLB",198,NA
17,"Basic Dart","YP",216.8,NA
18,"Basic Dart","AS",157.3,NA
