#ex5.1
# A data set from Montgomery (2020) \emph{Design and Analysis of Experiments}, 10th Ed., Hoboken, NJ: John Wiley & Sons.
# Columns are temperature (ºF), Material Type, and life (hours). 
temperature, material, life
15, 1, 130
15, 1, 155
15, 1, 74
15, 1, 180
15, 2, 150
15, 2, 188
15, 2, 159
15, 2, 126
15, 3, 138
15, 3, 110
15, 3, 168
15, 3, 160
70, 1, 34
70, 1, 40
70, 1, 80
70, 1, 75
70, 2, 136
70, 2, 122
70, 2, 106
70, 2, 115
70, 3, 174
70, 3, 120
70, 3, 150
70, 3, 139
125, 1, 20
125, 1, 70
125, 1, 82
125, 1, 58
125, 2, 25
125, 2, 70
125, 2, 58
125, 2, 45
125, 3, 96
125, 3, 104
125, 3, 82
125, 3, 60

