# pr17.1
# A data set from Oehlert (2000) \emph{A First Course in Design and
# Analysis of Experiments}, New York: W. H. Freeman.
#
# Columns are pesticide, diameter (mm), calcium concentration (mg).
    pesticide     diameter calcium.conc	measureOrder
            SC         2.48        10.41	1
            1          3.1         12.1	9
            2         2.57        10.33	17
            3          2.6        10.46	25
            SC         2.81        11.82	2
            1         2.61        10.38	10
            2         2.48        10.03	18
            3         2.17         8.64	26
            SC         2.73        11.58	3
            1         2.49        10.08	11
            2         2.77        11.13	19
            3         2.64        10.48	27
            SC         2.67        11.14	4
            1         2.69        10.71	12
            2          2.3         8.99	20
            3         2.35         9.32	28
            SC          2.9        12.05	5
            1         2.43         9.82	13
            2         2.56        10.06	21
            3         2.89        11.54	29
            SC         2.45        10.45	6
            1         2.52        10.12	14	
            2         2.18         8.73	22
            3         2.38         9.48	30
            SC         2.69        11.39	7
            1         2.54        10.16	15
            2         2.65        10.66	23
            2         2.55        10.08	31
            SC         2.94         12.5	8
            1         2.55        10.14	16
            2         2.73        11.03	24
            3         2.29         9.12	32

