Filling Mass,Type
3.266,Regular
3.118,Regular
3.145,Regular
3.275,Regular
3.237,Regular
3.11,Regular
3.24,Regular
3.203,Regular
3.271,Regular
3.186,Regular
3.259,Regular
3.142,Regular
3.249,Regular
3.274,Regular
3.268,Regular
3.323,Regular
3.205,Regular
3.263,Regular
3.282,Regular
3.292,Regular
3.198,Regular
3.218,Regular
3.254,Regular
3.265,Regular
3.32,Regular
3.235,Regular
3.162,Regular
2.292,Regular
3.274,Regular
3.289,Regular
6.331,Double Stuf
7.21,Double Stuf
6.883,Double Stuf
6.911,Double Stuf
6.093,Double Stuf
6.371,Double Stuf
6.322,Double Stuf
6.161,Double Stuf
6.514,Double Stuf
6.766,Double Stuf
6.035,Double Stuf
6.572,Double Stuf
5.815,Double Stuf
6.83,Double Stuf
6.752,Double Stuf
6.286,Double Stuf
6.548,Double Stuf
6.457,Double Stuf
6.202,Double Stuf
6.403,Double Stuf
6.186,Double Stuf
6.44,Double Stuf
6.594,Double Stuf
6.829,Double Stuf
6.319,Double Stuf
6.473,Double Stuf
6.366,Double Stuf
6.154,Double Stuf
6.598,Double Stuf
6.288,Double Stuf
