# ex13.2
# A data set from Oehlert (2000) \emph{A First Course in Design and
# Analysis of Experiments}, New York: W. H. Freeman.
#
# Columns are batch, temperature, ph, sugar, and response.
batch temp   pH  sugar  y
    1    1    1    1   21
    1    1    2    1   12
    1    1    1    2   13
    1    1    2    2    1
    2    1    1    1   21
    2    1    2    1   18
    2    1    1    2   14
    2    1    2    2    8
    1    2    1    1   23
    1    2    2    1   14
    1    2    1    2   13
    1    2    2    2    1
    2    2    1    1   23
    2    2    2    1   17
    2    2    1    2   16
    2    2    2    2   11
    1    3    1    1   17
    1    3    2    1   20
    1    3    1    2   16
    1    3    2    2   14
    2    3    1    1   23
    2    3    2    1   17
    2    3    1    2   17
    2    3    2    2    5

