trt,Subject,Week1,Week3,Week4,Week5,Week6,Week7
zero,1,455,460,510,504,436,466
zero,2,467,565,610,596,542,587
zero,3,445,530,580,597,582,619
zero,4,485,542,594,583,611,612
zero,5,480,500,550,528,562,576
low,6,514,560,565,524,552,597
low,7,440,480,536,484,567,569
low,8,495,570,569,585,576,677
low,9,520,590,610,637,671,702
low,10,503,555,591,605,649,675
high,11,496,560,622,622,632,670
high,12,498,540,589,557,568,609
high,13,478,510,568,555,576,605
high,14,545,565,580,601,633,649
high,15,472,498,540,524,532,583
