"setNumber","collection","year","setName","price","numParts","imgURL"
"21035-1","Architecture",2017,"Solomon R. Guggenheim Museum",79.99,744,"https://cdn.rebrickable.com/media/sets/21035-1.jpg"
"21036-1","Architecture",2017,"Arc de Triomphe",39.99,386,"https://cdn.rebrickable.com/media/sets/21036-1.jpg"
"21011-1","Architecture",2011,"Brandenburg Gate",34.99,362,"https://cdn.rebrickable.com/media/sets/21011-1.jpg"
"21024-1","Architecture",2015,"Louvre",59.99,695,"https://cdn.rebrickable.com/media/sets/21024-1.jpg"
"21043-1","Architecture",2019,"San Francisco",49.99,565,"https://cdn.rebrickable.com/media/sets/21043-1.jpg"
"21032-1","Architecture",2017,"Sydney",29.99,361,"https://cdn.rebrickable.com/media/sets/21032-1.jpg"
"21023-1","Architecture",2015,"Flatiron Building; New York",39.99,471,"https://cdn.rebrickable.com/media/sets/21023-1.jpg"
"21029-1","Architecture",2016,"Buckingham Palace",49.99,780,"https://cdn.rebrickable.com/media/sets/21029-1.jpg"
"21010-1","Architecture",2011,"Robie House",199.99,2276,"https://cdn.rebrickable.com/media/sets/21010-1.jpg"
"21056-1","Architecture",2021,"Taj Mahal",119.99,2024,"https://cdn.rebrickable.com/media/sets/21056-1.jpg"
"40460-1","Botanical Collection",2021,"Roses",12.99,120,"https://cdn.rebrickable.com/media/sets/40460-1.jpg"
"40461-1","Botanical Collection",2021,"Tulips",9.99,111,"https://cdn.rebrickable.com/media/sets/40461-1.jpg"
"10281-1","Botanical Collection",2021,"Bonsai Tree",49.99,878,"https://cdn.rebrickable.com/media/sets/10281-1.jpg"
"10289-1","Botanical Collection",2021,"Bird of Paradise",99.99,1173,"https://cdn.rebrickable.com/media/sets/10289-1.jpg"
"40646-1","Botanical Collection",2023,"Daffodils",12.99,216,"https://cdn.rebrickable.com/media/sets/40646-1.jpg"
"10311-1","Botanical Collection",2022,"Orchid",49.99,608,"https://cdn.rebrickable.com/media/sets/10311-1.jpg"
"10309-1","Botanical Collection",2022,"Succulents",49.99,771,"https://cdn.rebrickable.com/media/sets/10309-1.jpg"
"10280-1","Botanical Collection",2021,"Flower Bouquet",59.99,756,"https://cdn.rebrickable.com/media/sets/10280-1.jpg"
"40524-1","Botanical Collection",2022,"Sunflowers",12.99,191,"https://cdn.rebrickable.com/media/sets/40524-1.jpg"
"10313-1","Botanical Collection",2023,"Wildflower Bouquet",59.99,939,"https://cdn.rebrickable.com/media/sets/10313-1.jpg"
"76398-1","Harry Potter",2022,"Hogwarts Hospital Wing",49.99,508,"https://cdn.rebrickable.com/media/sets/76398-1.jpg"
"71043-1","Harry Potter",2018,"Hogwarts Castle",469.99,6020,"https://cdn.rebrickable.com/media/sets/71043-1.jpg"
"4867-1","Harry Potter",2011,"Hogwarts",49.99,466,"https://cdn.rebrickable.com/media/sets/4867-1.jpg"
"76401-1","Harry Potter",2022,"Hogwarts Courtyard: Sirius's Rescue",49.99,343,"https://cdn.rebrickable.com/media/sets/76401-1.jpg"
"4767-1","Harry Potter",2005,"Harry and the Hungarian Horntail",29.99,265,"https://cdn.rebrickable.com/media/sets/4767-1.jpg"
"75952-1","Harry Potter",2018,"Newt's Case of Magical Creatures",49.99,694,"https://cdn.rebrickable.com/media/sets/75952-1.jpg"
"4752-1","Harry Potter",2004,"Professor Lupin's Classroom",19.99,159,"https://cdn.rebrickable.com/media/sets/4752-1.jpg"
"4768-1","Harry Potter",2005,"The Durmstrang Ship",49.99,552,"https://cdn.rebrickable.com/media/sets/4768-1.jpg"
"10260-1","Modular Buildings",2018,"Downtown Diner",169.99,2480,"https://cdn.rebrickable.com/media/sets/10260-1.jpg"
"10182-1","Modular Buildings",2007,"Cafe Corner",139.99,2058,"https://cdn.rebrickable.com/media/sets/10182-1.jpg"
"10270-1","Modular Buildings",2020,"Bookshop",199.99,2504,"https://cdn.rebrickable.com/media/sets/10270-1.jpg"
"10264-1","Modular Buildings",2019,"Corner Garage",199.99,2569,"https://cdn.rebrickable.com/media/sets/10264-1.jpg"
"10246-1","Modular Buildings",2015,"Detective's Office",159.99,2262,"https://cdn.rebrickable.com/media/sets/10246-1.jpg"
"10211-1","Modular Buildings",2010,"Grand Emporium",149.99,2187,"https://cdn.rebrickable.com/media/sets/10211-1.jpg"
"10218-1","Modular Buildings",2011,"Pet Shop",149.99,2034,"https://cdn.rebrickable.com/media/sets/10218-1.jpg"
"10297-1","Modular Buildings",2022,"Boutique Hotel",229.99,3068,"https://cdn.rebrickable.com/media/sets/10297-1.jpg"
"10312-1","Modular Buildings",2023,"Jazz Club",229.99,2900,"https://cdn.rebrickable.com/media/sets/10312-1.jpg"
"7194-1","Star Wars",2002,"Yoda",99.99,1076,"https://cdn.rebrickable.com/media/sets/7194-1.jpg"
"75197-1","Star Wars",2018,"First Order Specialists Battle Pack",14.99,108,"https://cdn.rebrickable.com/media/sets/75197-1.jpg"
"75227-1","Star Wars",2019,"Darth Vader Bust",39.99,327,"https://cdn.rebrickable.com/media/sets/75227-1.jpg"
"75202-1","Star Wars",2018,"Defense of Crait",84.99,746,"https://cdn.rebrickable.com/media/sets/75202-1.jpg"
"75312-1","Star Wars",2021,"Boba Fett's Starship",49.99,600,"https://cdn.rebrickable.com/media/sets/75312-1.jpg"
"7675-1","Star Wars",2008,"AT-TE Walker",89.99,810,"https://cdn.rebrickable.com/media/sets/7675-1.jpg"
"75175-1","Star Wars",2017,"A-Wing Starfighter",39.99,358,"https://cdn.rebrickable.com/media/sets/75175-1.jpg"
"8098-1","Star Wars",2010,"Clone Turbo Tank",119.99,1145,"https://cdn.rebrickable.com/media/sets/8098-1.jpg"
"75205-1","Star Wars",2018,"Mos Eisley Cantina",39.99,376,"https://cdn.rebrickable.com/media/sets/75205-1.jpg"
"75306-1","Star Wars",2021,"Imperial Probe Droid",59.99,693,"https://cdn.rebrickable.com/media/sets/75306-1.jpg"
"10217-1","Harry Potter",2011,"Diagon Alley",149.99,2032,"https://cdn.rebrickable.com/media/sets/10217-1.jpg"
"10243-1","Modular Buildings",2014,"Parisian Restaurant",159.99,2470,"https://cdn.rebrickable.com/media/sets/10243-1.jpg"
"76407-1","Harry Potter",2022,"The Shrieking Shack & Whomping Willow",89.99,773,"https://cdn.rebrickable.com/media/sets/76407-1.jpg"
