Filling Mass,Type
5.75,Double Stuf
5.72,Regular
4.47,Double Stuf
6.39,Double Stuf
4.84,Double Stuf
4.54,Double Stuf
4.79,Double Stuf
6.31,Double Stuf
4.95,Double Stuf
4.36,Double Stuf
4.58,Double Stuf
5.92,Double Stuf
5.54,Double Stuf
5.43,Double Stuf
4.63,Double Stuf
5.99,Double Stuf
5.21,Double Stuf
4.89,Double Stuf
5.07,Double Stuf
5.3,Double Stuf
5.66,Double Stuf
5.19,Double Stuf
4.37,Double Stuf
5.37,Double Stuf
5.81,Double Stuf
5.73,Double Stuf
5.79,Double Stuf
4.96,Double Stuf
5.24,Double Stuf
4.48,Double Stuf
3.34,Regular
3.48,Regular
2.96,Regular
3.28,Regular
2.96,Double Stuf
3.07,Regular
3.13,Regular
2.75,Regular
3.42,Regular
3.21,Regular
3.42,Regular
3.29,Regular
3.51,Regular
3.39,Regular
2.86,Regular
3.19,Regular
3.29,Regular
3.05,Regular
3.29,Regular
3.12,Regular
3.41,Regular
3.08,Regular
3.01,Regular
2.89,Regular
3.59,Regular
2.97,Regular
2.85,Regular
3.02,Regular
3.2,Regular
3.32,Regular
3.18,Regular
2.99,Regular
3.37,Regular
3.06,Regular
3.13,Regular
3.06,Regular
