Type,Measurement Order,Package Order,Row,Cookie Number,Total Mass,Wafer Mass,Crème Mass
Regular,1,1,1,1,12.849,8.488,4.361
Regular,2,2,1,2,11.764,8.56,3.204
Regular,3,3,1,3,11.723,8.667,3.056
Regular,4,4,1,4,11.579,8.563,3.016
Regular,5,5,1,5,12.69,8.631,4.059
Regular,6,6,1,6,12.614,8.601,4.013
Regular,7,7,1,7,12.666,8.645,4.021
Regular,8,8,1,8,12.634,8.712,3.922
Regular,9,9,1,9,11.747,8.53,3.217
Regular,10,10,1,10,11.36,8.612,2.748
Regular,11,11,1,11,11.625,8.442,3.183
Regular,12,12,1,12,12.596,8.66,3.936
Regular,13,13,2,1,11.458,8.479,2.979
Regular,14,14,2,2,12.613,8.646,3.967
Regular,15,15,2,3,11.639,8.781,2.858
Regular,16,16,2,4,11.454,8.558,2.896
Regular,17,17,2,5,11.698,8.543,3.155
Regular,18,18,2,6,11.358,8.63,2.728
Regular,19,19,2,7,12.148,8.662,3.486
Regular,20,20,2,8,12.764,8.729,4.035
Regular,21,21,2,9,12.605,8.534,4.071
Regular,22,22,2,10,11.259,8.638,2.621
Regular,23,23,2,11,12.229,8.641,3.588
Regular,24,24,2,12,12.391,8.43,3.961
Regular,25,25,3,1,11.279,8.606,2.673
Regular,26,26,3,2,11.551,8.444,3.107
Regular,27,27,3,3,11.177,8.522,2.655
Regular,28,28,3,4,11.742,8.611,3.131
Regular,29,29,3,5,11.392,8.588,2.804
Regular,30,30,3,6,11.1,8.563,2.537
Regular,31,31,3,7,11.658,8.672,2.986
Regular,32,32,3,8,12.954,8.71,4.244
Regular,33,33,3,9,11.309,8.613,2.696
Regular,34,34,3,10,12.714,8.686,4.028
Regular,35,35,3,11,11.211,8.599,2.612
Regular,36,36,3,12,10.86,8.646,2.214
Double,37,1,1,1,14.996,8.395,6.601
Double,38,2,1,2,15.196,8.797,6.399
Double,39,3,1,3,15.044,8.635,6.409
Double,40,4,1,4,14.999,8.636,6.363
Double,41,5,1,5,14.699,8.531,6.168
Double,42,6,1,6,15.137,8.525,6.612
Double,43,7,1,7,15.253,8.649,6.604
Double,44,8,1,8,14.246,8.456,5.79
Double,45,9,1,9,15.363,8.621,6.742
Double,46,10,1,10,15.396,8.699,6.697
Double,47,11,2,1,14.362,8.53,5.832
