# pr13.14
# A data set from Oehlert (2000) \emph{A First Course in Design and
# Analysis of Experiments}, New York: W. H. Freeman.
#
# Data originally from Monica Coulter (personal communication).
#
# Columns are judge, period, treatment (regular or reduced fat),
# and response.  
         judge          period       trt           y
            1            1            1            8
            2            1            1            5
            3            1            1            7
            4            1            1            8
            5            1            1            7
            6            1            1            7
            7            1            1            4
            8            1            1            9
            9            1            1            8
           10            1            1            7
           11            1            1            7
           12            1            1            7
            1            2            2            6
            2            2            2            6
            3            2            2            8
            4            2            2            8
            5            2            2            4
            6            2            2            7
            7            2            2            8
            8            2            2            9
            9            2            2            9
           10            2            2            7
           11            2            2            5
           12            2            2            3
           13            1            2            4
           14            1            2            6
           15            1            2            6
           16            1            2            7
           17            1            2            6
           18            1            2            4
           19            1            2            8
           20            1            2            6
           21            1            2            7
           22            1            2            6
           23            1            2            8
           24            1            2            7
           13            2            1            7
           14            2            1            8
           15            2            1            7
           16            2            1            8
           17            2            1            4
           18            2            1            8
           19            2            1            7
           20            2            1            7
           21            2            1            7
           22            2            1            8
           23            2            1            8
           24            2            1            8

