# pr8.6
# A data set from Oehlert (2000) \emph{A First Course in Design and
# Analysis of Experiments}, New York: W. H. Freeman.
#
# Data originally from Richards, J.~A. (1965).  ``Effects of fertilizers
# and management on three promising tropical grasses in {J}amaica.''
# {\em Expl. Agric.\/}~{\em 1}, 281--288.
#
# Columns are height, fertilizer, interval, and response (cwt/acre).
# Codes 1, 2, 3 for height are 1, 3, 6 inches.
# Codes 1, 2, 3, 4 for fert are 0, 8, 16, 32 cwt/acre.
# Codes 1, 2, 3, 4 for interval are 1, 3, 6, 9 weeks.
          ht          fert       int         y
           1           1           1        74.1
           1           1           2        65.4
           1           1           3        96.7
           1           1           4       147.1
           1           2           1        87.4
           1           2           2       117.7
           1           2           3       190.2
           1           2           4       188.6
           1           3           1        96.5
           1           3           2       122.2
           1           3           3       197.9
           1           3           4         232
           1           4           1       107.6
           1           4           2       140.5
           1           4           3       241.3
           1           4           4         192
           2           1           1        61.7
           2           1           2        83.7
           2           1           3        88.8
           2           1           4       155.6
           2           2           1       112.5
           2           2           2       129.4
           2           2           3         145
           2           2           4       208.1
           2           3           1       102.3
           2           3           2       137.8
           2           3           3       173.6
           2           3           4       203.2
           2           4           1       115.3
           2           4           2       154.3
           2           4           3       211.2
           2           4           4       245.2
           3           1           1        49.9
           3           1           2        72.7
           3           1           3       113.9
           3           1           4       143.4
           3           2           1        92.9
           3           2           2       126.4
           3           2           3       175.5
           3           2           4       207.5
           3           3           1       100.8
           3           3           2       153.5
           3           3           3       184.5
           3           3           4       194.2
           3           4           1       115.8
           3           4           2         160
           3           4           3       224.8
           3           4           4       197.5

