Filling Mass,Type
2.949,Regular
2.821,Regular
2.786,Regular
3,Regular
2.891,Regular
2.807,Regular
3.005,Regular
3.084,Regular
3.096,Regular
3.576,Regular
3.237,Regular
2.87,Regular
3.053,Regular
3.211,Regular
3.038,Regular
2.888,Regular
3.082,Regular
3.401,Regular
3.268,Regular
3.424,Regular
3.04,Regular
2.944,Regular
2.838,Regular
3.402,Regular
3.055,Regular
3.033,Regular
3.223,Regular
2.873,Regular
2.985,Regular
3.416,Regular
6.028,Double Stuf
5.332,Double Stuf
5.74,Double Stuf
5.792,Double Stuf
6.825,Double Stuf
5.851,Double Stuf
6.476,Double Stuf
6.227,Double Stuf
5.842,Double Stuf
5.589,Double Stuf
6.217,Double Stuf
5.592,Double Stuf
5.567,Double Stuf
6.619,Double Stuf
5.554,Double Stuf
5.772,Double Stuf
5.501,Double Stuf
6.442,Double Stuf
6.749,Double Stuf
6.935,Double Stuf
5.271,Double Stuf
6.14,Double Stuf
5.841,Double Stuf
6.3,Double Stuf
5.811,Double Stuf
5.9,Double Stuf
6.629,Double Stuf
6.555,Double Stuf
5.568,Double Stuf
6.766,Regular
2.771,Double Stuf
3.224,Regular
2.981,Regular
2.91,Regular
3.26,Regular
2.97,Regular
